,IMDB,TREC,SST
SingleCNN_static,0.040956282369848884,0.006234649201074956,0.016245871799581382
SingleCNN_nonstatic,0.06595883628851311,0.007146499824269807,0.029282128108940073
SingleCNN_spe,0.06772005503607162,0.00956929843099419,0.026101773806299626
kimCNN_static,0.2840518706692442,0.015122242843353718,1.0310796151749058
kimCNN_nonstatic,0.2351509659891065,0.014360172438057529,8.684811988444247
kimCNN_multichannel,0.3050147661195625,0.03082938792929921,8.091928956593677
bilstm,0.514993224556283,0.1094633001552255,3.0556043013722967
bert,1.3852205436498992,0.06098074206276179,0.7285555879923585
