,fs2,fs3,fs4,fs6,fs8,fs12
SingleCNN_static,77702,116102,154502,231302,308102,461702
SingleCNN_nonstatic,1878302,1916702,1955102,2031902,2108702,2262302
SingleCNN_spe,77702,116102,154502,231302,308102,461702
