,IMDB,TREC,SST
SingleCNN_static,0.0014548604503414348,0.01429156419484542,0.007683615460317482
SingleCNN_nonstatic,0.0007960775387977094,0.010690528939468548,0.006633153386137838
SingleCNN_spe,0.0018946957842609898,0.004785809712981465,0.007054111745820199
kimCNN_static,0.0010111952468544792,0.004382025102097378,0.004415483633887895
kimCNN_nonstatic,0.0009578529839035169,0.01069422260395042,0.013742847510184496
kimCNN_multichannel,0.0018792594399021222,0.006622006026321755,0.010948245751295058
bilstm,0.0026943355198516335,0.016457805310607025,0.007389801521155913
bert,0.0015395077419692248,0.013903691544203206,0.002745261594487885
