,fs2,fs3,fs4,fs6,fs8,fs12
SingleCNN_static,0.0029615109555651722,0.006234649201074956,0.004885556293267151,0.007228992332542149,0.004946457627100827,0.006972891624946148
SingleCNN_nonstatic,0.005290344258635442,0.007146499824269807,0.005214526553422535,0.007903129084815877,0.0058568522767477385,0.014055095807919391
SingleCNN_spe,0.008852410320446948,0.00956929843099419,0.004119366965464823,0.007973992615932306,0.0037424575018659544,0.010094274903011343
