,IMDB,TREC,SST
SingleCNN_static,0.8806250000243907,0.8932091385126114,0.8224286564465226
SingleCNN_nonstatic,0.8852078005785833,0.898106974363327,0.827838881673484
SingleCNN_spe,0.8478660486238386,0.8843449592590332,0.8097763077966098
kimCNN_static,0.8884670717027181,0.9087740451097488,0.8279652192674835
kimCNN_nonstatic,0.8793254475764302,0.857091349363327,0.783854785458795
kimCNN_multichannel,0.8943254476617974,0.8990084201097488,0.827344678599259
bilstm,0.9073465473511639,0.9159855827689171,0.863852555587374
bert,0.9233072251005247,0.9292668327689171,0.9026196496240024
